LSOA code (2011),Index of Multiple Deprivation ,Income Decile ,Employment Decile ,"Education, Skills and Training Decile ",Health Deprivation and Disability Decile ,Crime Decile ,Barriers to Housing and Services Decile ,Living Environment Decile 
E01000476,5,6,7,3,10,4,1,3
E01000477,4,5,7,3,9,6,1,3
E01000478,4,4,7,4,9,4,1,2
E01000479,6,5,6,8,10,5,2,4
E01000480,7,7,9,9,9,4,3,4
E01000481,3,3,4,8,8,5,1,3
E01000482,2,2,2,6,4,4,1,5
E01000483,2,2,3,4,6,4,1,4
E01000484,2,2,2,4,6,6,1,4
E01000485,3,2,4,5,3,4,1,6
E01000486,6,6,7,8,10,4,1,6
E01000487,6,5,6,8,9,5,1,5
E01000488,4,4,5,6,8,2,1,4
E01000489,4,3,5,9,6,2,2,4
E01000490,4,4,5,7,7,2,1,3
E01000491,5,4,5,7,7,4,1,5
E01000492,7,6,7,10,9,4,3,3
E01000493,7,6,7,9,9,6,3,3
E01000494,5,4,6,9,7,5,1,5
E01000495,3,2,3,7,4,2,1,4
E01000497,4,3,4,6,7,4,1,5
E01000498,3,3,4,3,7,2,1,3
E01000499,3,3,5,4,7,4,1,4
E01000501,2,2,2,5,6,3,1,5
E01000502,3,2,3,6,8,3,1,5
E01000503,3,3,3,6,8,2,1,4
E01000504,5,5,5,8,6,4,1,4
E01000505,5,4,5,7,9,4,1,5
E01000506,3,3,4,4,6,4,1,2
E01000507,4,4,5,7,9,3,1,5
E01000508,2,2,2,3,7,3,1,3
E01000509,2,3,4,3,7,1,1,3
E01000510,3,3,5,5,9,1,1,2
E01000511,3,3,4,5,6,1,1,2
E01000512,5,5,7,9,8,3,1,2
E01000513,6,6,9,5,9,6,2,3
E01000514,6,6,8,8,9,5,1,4
E01000515,3,3,4,6,8,2,1,5
E01000516,5,5,6,6,8,4,2,3
E01000517,7,7,10,8,10,2,2,4
E01000518,4,4,5,6,7,2,1,4
E01000519,5,4,6,7,8,4,1,5
E01000520,5,5,6,6,7,4,1,5
E01000521,1,1,1,3,4,2,1,1
E01000522,3,2,3,4,7,5,1,4
E01000523,3,3,4,2,8,2,2,2
E01000524,1,1,2,3,5,1,1,2
E01000525,2,2,3,4,7,2,1,3
E01000526,2,1,1,4,5,3,1,5
E01000527,2,3,3,4,6,2,1,3
E01000528,1,1,1,5,5,2,1,3
E01000530,6,6,6,9,8,5,3,3
E01000531,4,3,4,7,7,5,1,3
E01000532,4,5,5,6,7,5,1,3
E01000533,2,2,2,4,4,1,1,2
E01000534,5,5,5,8,7,4,2,3
E01000535,3,4,4,6,6,1,2,1
E01000536,8,6,8,10,10,6,2,5
E01000538,8,7,9,10,10,7,2,4
E01000539,8,8,9,10,9,7,2,5
E01000540,8,7,7,10,9,7,2,5
E01000541,6,5,9,9,9,6,1,5
E01000543,5,4,6,7,7,3,1,4
E01000544,2,2,2,7,5,4,1,3
E01000545,3,3,4,7,6,1,1,2
E01000546,4,4,4,8,8,3,1,4
E01000547,4,4,5,7,6,3,1,3
E01000548,3,2,4,7,5,1,1,3
E01000549,6,5,5,9,8,5,2,3
E01000550,2,2,2,6,5,1,2,3
E01000551,2,1,1,5,5,5,1,4
E01000552,2,1,2,4,5,4,1,1
E01000553,3,3,4,5,5,3,1,3
E01000554,5,4,5,6,7,6,2,4
E01000555,6,6,7,9,9,3,2,4
E01000556,3,3,5,6,6,1,1,1
E01000557,4,4,4,8,5,4,1,4
E01000558,3,4,3,8,6,1,1,4
E01000559,4,4,5,9,6,4,1,4
E01000560,5,5,5,8,8,3,1,4
E01000561,4,4,4,9,6,3,1,5
E01000562,8,6,8,9,10,7,2,5
E01000563,8,8,9,10,9,4,4,5
E01000564,6,5,7,7,9,8,1,5
E01000565,4,3,4,6,7,5,1,5
E01000566,6,6,8,7,8,6,1,5
E01000567,5,5,6,8,7,5,1,5
E01000568,6,10,10,9,8,6,1,5
E01000569,8,7,10,9,9,7,2,6
E01000570,4,5,5,6,8,5,1,5
E01000571,4,4,5,7,8,2,2,4
E01000572,7,6,9,8,10,8,1,6
E01000573,7,6,9,8,9,5,2,5
E01000574,8,7,9,8,9,8,2,5
E01000575,6,6,9,8,10,4,1,2
E01000576,6,6,7,8,9,3,2,4
E01000577,3,2,3,5,8,7,1,3
E01000578,3,3,3,7,7,2,1,4
E01000579,3,3,3,8,6,3,1,2
E01000580,5,4,5,9,9,2,3,3
E01000581,6,5,7,9,10,3,3,2
E01000582,6,6,8,9,9,4,3,2
E01000583,5,5,5,9,8,3,2,2
E01000584,6,6,6,8,8,6,3,3
E01000585,7,5,7,9,8,5,2,4
E01000586,5,5,5,8,8,4,1,3
E01000587,6,5,8,6,8,7,2,5
E01000588,4,3,4,5,8,3,1,4
E01000589,5,5,6,6,8,5,1,5
E01000590,5,4,5,8,6,5,2,5
E01000591,5,6,7,6,8,2,1,3
E01000592,5,5,6,7,7,3,1,5
E01000593,5,4,6,7,8,6,1,6
E01000594,6,5,9,7,10,4,1,3
E01000595,1,2,2,3,3,3,1,2
E01000596,1,1,2,3,5,1,1,3
E01000599,1,1,1,5,3,2,1,2
E01000600,2,3,3,4,4,3,1,2
E01000601,1,1,1,2,2,1,1,5
E01000602,2,2,2,4,7,2,1,5
E01000603,2,1,2,4,7,4,1,4
E01000604,2,1,2,4,5,3,1,4
E01000605,1,1,2,3,5,2,1,3
E01000606,5,5,6,7,9,5,1,3
E01000607,5,5,7,7,9,7,1,5
E01000608,4,4,7,7,8,3,1,3
E01000609,5,5,7,6,8,4,1,4
E01000610,4,4,5,6,7,3,1,6
E01000611,4,4,5,6,6,4,1,3
E01000612,4,3,6,7,7,4,1,5
E01000613,4,4,5,6,8,7,1,4
E01000615,5,5,7,6,8,6,1,6
E01000616,4,5,6,7,9,3,1,2
E01000617,4,4,6,6,7,1,1,4
E01000618,4,4,5,5,8,5,1,4
E01000619,5,4,6,5,8,5,1,6
E01000620,5,5,6,5,10,6,1,3
E01000621,4,4,6,5,4,6,1,3
E01000622,3,4,6,4,7,2,1,3
E01000623,6,5,8,6,8,7,2,3
E01000624,5,4,6,5,8,7,1,5
E01000625,4,4,6,6,8,5,1,5
E01000626,2,1,2,3,4,1,1,5
E01000627,2,3,3,3,6,1,1,2
E01000628,2,3,3,4,5,2,1,2
E01000629,6,6,7,5,9,6,2,5
E01000630,3,4,4,5,7,2,1,5
E01000631,6,6,8,6,10,5,1,3
E01000632,5,6,8,3,10,5,1,3
E01000633,4,4,8,4,8,2,1,3
E01000634,4,4,7,6,8,6,1,5
E01000635,3,3,5,6,9,1,1,2
E01000636,5,6,7,5,10,6,1,2
E01000637,4,4,4,6,7,5,2,3
E01000638,3,3,5,5,6,2,1,2
E01000639,4,4,6,7,9,2,1,3
E01000640,3,3,5,4,8,4,1,2
E01000641,3,3,3,4,5,2,1,3
E01000642,3,3,4,7,7,4,1,2
E01000643,1,1,1,5,2,1,1,3
E01000644,4,3,4,7,6,4,1,3
E01033424,4,5,7,6,8,2,1,3
E01033455,2,2,3,2,5,1,1,1
E01033456,1,1,1,4,3,2,1,3
E01033457,5,6,9,8,9,1,1,3
E01033463,7,6,7,8,10,7,2,5
E01033464,3,3,3,3,7,5,1,4
E01033485,2,3,2,4,8,2,1,2
