lsoa_id,经度,纬度,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon
E01000001,-0.096777543244392,51.518005977903130,Zone 1,,,,,,"-1","0","-1",,
E01000002,-0.092553209209591,51.518214536539404,Zone 1,,,,,,"-1","0","-1",,
E01000003,-0.095812723196195,51.521722660740359,Zone 1,,,,,,"-1","0","-1",,
E01000005,-0.075810449022208,51.513545997040488,Zone 1,,,,,,"-1","0","-1",,
E01000850,-0.132005277546689,51.520112187637011,Zone 1,,,,,,"-1","0","-1",,
E01000851,-0.138466191357170,51.521719039600498,Zone 1,,,,,,"-1","0","-1",,
E01000852,-0.130344990561845,51.525157004729607,Zone 1,,,,,,"-1","0","-1",,
E01000853,-0.124534123238387,51.524654070718015,Zone 1,,,,,,"-1","0","-1",,
E01000854,-0.135523816596024,51.523474602596288,Zone 1,,,,,,"-1","0","-1",,
E01000855,-0.127497889768484,51.520692325587994,Zone 1,,,,,,"-1","0","-1",,
E01000914,-0.117228419861792,51.518777488637149,Zone 1,,,,,,"-1","0","-1",,
E01000915,-0.119204451479343,51.521489415257825,Zone 1,,,,,,"-1","0","-1",,
E01000916,-0.108576801724310,51.520809162051357,Zone 1,,,,,,"-1","0","-1",,
E01000917,-0.110888453041883,51.520215018761313,Zone 1,,,,,,"-1","0","-1",,
E01000918,-0.122602421145797,51.516612811411015,Zone 1,,,,,,"-1","0","-1",,
E01000919,-0.127180641213959,51.515162806065227,Zone 1,,,,,,"-1","0","-1",,
E01000920,-0.115718900342389,51.522978648697610,Zone 1,,,,,,"-1","0","-1",,
E01000936,-0.116014359137287,51.525806291540746,Zone 1,,,,,,"-1","0","-1",,
E01000937,-0.120919832053155,51.525269844020755,Zone 1,,,,,,"-1","0","-1",,
E01000938,-0.118392095250858,51.529501463922571,Zone 1,,,,,,"-1","0","-1",,
E01000939,-0.121251254095413,51.529001730214425,Zone 1,,,,,,"-1","0","-1",,
E01000940,-0.118268910104239,51.526986748354958,Zone 1,,,,,,"-1","0","-1",,
E01000941,-0.123201500674385,51.527628638975678,Zone 1,,,,,,"-1","0","-1",,
E01000942,-0.126763452275239,51.528053602028798,Zone 1,,,,,,"-1","0","-1",,
E01000943,-0.127067967067951,51.526249322548075,Zone 1,,,,,,"-1","0","-1",,
