LSOA code,local authority name,local authority code,All usual residents,White British,White Irish,White Gypsy/Irish Traveller,White Roma,White Other,Mixed White and Asian,Mixed White and Black African,Mixed White and Black Caribbean,Mixed Other,Asian Bangladeshi,Asian Chinese,Asian Indian,Asian Pakistani,Asian Other,Black African,Black Caribbean,Black Other,Other Arab,Other Any other
E01000080,Barking and Dagenham,E09000002,1778,730,4,1,2,254,9,18,36,9,109,8,53,102,30,242,78,38,3,52
E01000081,Barking and Dagenham,E09000002,1978,710,7,0,5,309,7,7,30,22,249,1,59,116,40,268,63,34,2,49
E01000082,Barking and Dagenham,E09000002,1916,833,4,1,3,254,10,41,19,19,117,11,37,80,22,304,49,44,11,57
E01000083,Barking and Dagenham,E09000002,1916,773,6,0,4,213,8,22,44,22,133,0,84,166,46,197,66,56,17,59
E01000084,Barking and Dagenham,E09000002,1434,632,7,1,1,227,9,11,13,11,99,16,32,36,30,216,29,24,1,39
E01000085,Barking and Dagenham,E09000002,1644,708,5,1,0,274,6,15,20,14,133,6,44,38,22,252,22,42,8,34
E01000086,Barking and Dagenham,E09000002,1454,625,14,0,5,198,7,13,10,11,100,16,27,49,47,257,14,34,5,22
E01000087,Barking and Dagenham,E09000002,1641,616,13,0,4,204,12,14,17,19,129,9,35,39,19,352,64,38,10,47
E01000088,Barking and Dagenham,E09000002,1975,509,14,3,13,276,14,23,25,18,212,7,78,104,44,432,67,66,6,64
E01000089,Barking and Dagenham,E09000002,1828,500,25,6,1,273,12,43,18,20,131,13,33,83,26,430,60,89,7,58
E01000090,Barking and Dagenham,E09000002,1703,368,15,7,4,261,8,29,15,18,138,4,118,98,53,389,42,70,6,60
E01000091,Barking and Dagenham,E09000002,2093,494,3,0,5,184,17,28,36,42,319,12,36,119,50,573,56,74,13,32
E01000093,Barking and Dagenham,E09000002,1809,488,12,0,5,180,8,37,36,22,220,5,44,98,28,443,42,78,14,49
E01000094,Barking and Dagenham,E09000002,2457,367,5,0,10,308,17,35,36,57,197,16,72,148,43,802,98,160,37,49
E01000095,Barking and Dagenham,E09000002,2253,737,8,1,3,225,7,30,42,31,222,14,85,110,42,464,65,96,24,47
E01000096,Barking and Dagenham,E09000002,1650,404,1,0,3,135,10,25,27,23,142,4,62,66,35,511,32,105,29,36
E01000097,Barking and Dagenham,E09000002,1933,737,18,0,5,247,26,11,27,19,201,3,143,128,50,176,41,40,11,50
E01000098,Barking and Dagenham,E09000002,1939,637,12,1,6,176,11,26,26,20,193,5,146,217,38,254,28,47,0,96
E01000099,Barking and Dagenham,E09000002,2782,948,13,0,17,339,24,32,30,31,209,15,259,222,80,313,76,75,26,73
E01000100,Barking and Dagenham,E09000002,1938,769,9,0,7,247,15,22,89,13,78,16,116,207,34,203,21,50,3,39
E01000101,Barking and Dagenham,E09000002,1705,694,6,0,7,204,14,21,22,11,96,0,101,118,29,235,53,23,10,61
E01000102,Barking and Dagenham,E09000002,1785,721,11,2,21,253,6,21,22,25,98,6,70,121,34,251,34,36,8,45
E01000103,Barking and Dagenham,E09000002,1777,606,7,0,2,181,13,27,25,18,122,13,50,42,19,476,63,63,21,29
E01000104,Barking and Dagenham,E09000002,1911,695,10,3,6,196,3,32,36,22,119,1,29,55,33,474,47,102,3,45
E01000105,Barking and Dagenham,E09000002,2337,910,11,4,1,273,22,28,55,19,107,29,45,72,63,532,52,66,13,35
E01000106,Barking and Dagenham,E09000002,2215,777,17,2,4,251,17,22,40,24,188,17,44,66,20,512,63,86,12,53
E01000107,Barking and Dagenham,E09000002,1784,715,9,0,13,253,7,19,24,15,149,11,41,73,48,251,28,59,10,59
E01000108,Barking and Dagenham,E09000002,1910,689,12,6,24,241,13,11,26,25,230,13,52,54,68,287,41,47,10,61
E01000110,Barking and Dagenham,E09000002,1570,367,12,2,4,143,8,8,13,16,178,1,185,289,37,96,71,34,3,103
E01000111,Barking and Dagenham,E09000002,2155,674,48,0,7,404,14,19,23,19,144,0,154,138,59,253,76,40,10,73
E01000112,Barking and Dagenham,E09000002,1974,430,5,0,18,273,18,14,25,24,158,16,215,247,62,212,86,57,10,104
E01000113,Barking and Dagenham,E09000002,1996,458,15,1,4,341,11,24,24,31,170,9,206,211,42,293,55,48,5,48
E01000114,Barking and Dagenham,E09000002,2413,537,25,0,13,208,12,8,30,22,358,14,282,233,57,365,99,80,16,54
E01032580,Barking and Dagenham,E09000002,1547,407,14,5,4,123,17,9,15,20,203,7,170,210,35,158,58,32,20,40
E01033587,Barking and Dagenham,E09000002,2450,353,13,0,10,453,24,49,43,39,195,23,117,169,42,667,51,102,31,69
E01034469,Barking and Dagenham,E09000002,1746,387,10,7,6,169,21,13,29,21,108,12,389,157,61,224,37,11,14,70
E01034470,Barking and Dagenham,E09000002,1498,407,10,0,0,179,8,11,26,14,126,11,182,153,36,169,51,37,1,77
E01034471,Barking and Dagenham,E09000002,2687,511,7,1,13,479,23,29,61,53,161,17,128,186,87,622,75,99,28,107
E01034472,Barking and Dagenham,E09000002,1886,279,3,0,5,337,19,28,16,42,137,8,137,140,60,412,43,98,23,99
E01034473,Barking and Dagenham,E09000002,1269,100,8,0,10,242,7,12,4,17,190,52,259,156,38,79,25,12,11,47
E01034474,Barking and Dagenham,E09000002,2254,290,6,0,8,310,11,31,36,24,133,20,607,180,46,367,49,55,20,61
E01034475,Barking and Dagenham,E09000002,1829,435,12,0,16,232,14,14,24,13,285,9,55,149,88,309,62,49,9,54
E01034476,Barking and Dagenham,E09000002,1830,293,4,0,17,184,20,69,18,33,188,34,51,146,42,498,75,85,21,52
E01034477,Barking and Dagenham,E09000002,1579,163,6,0,0,201,8,22,25,19,98,16,67,108,35,511,117,120,2,61
E01034478,Barking and Dagenham,E09000002,1200,140,2,2,0,233,9,18,19,29,121,30,95,85,35,239,42,56,4,41
E01034479,Barking and Dagenham,E09000002,2206,320,8,7,3,305,13,43,35,31,195,7,68,166,64,617,63,122,26,113
E01000115,Barnet,E09000003,1397,569,38,1,1,232,19,7,1,21,22,43,184,25,56,17,13,5,7,136
E01000116,Barnet,E09000003,1747,707,62,1,2,328,42,8,22,45,21,16,130,23,64,49,31,6,12,178
E01000117,Barnet,E09000003,1734,927,51,0,0,282,25,3,14,35,4,19,95,14,59,29,20,6,12,139
E01000118,Barnet,E09000003,2059,885,76,0,2,324,31,17,38,40,20,35,153,35,139,67,27,12,13,145
E01000119,Barnet,E09000003,1800,594,15,0,6,397,44,7,4,41,50,75,217,36,82,22,16,8,22,164
E01000120,Barnet,E09000003,1497,465,27,0,6,332,22,5,9,37,16,46,159,45,52,29,24,2,8,213
E01000121,Barnet,E09000003,1469,617,34,1,2,170,20,16,37,47,4,12,121,6,104,85,40,48,15,90
E01000122,Barnet,E09000003,1511,524,41,0,5,323,46,3,16,34,48,31,156,22,47,28,27,8,2,150
E01000123,Barnet,E09000003,1760,680,52,0,8,314,38,9,21,42,19,32,133,33,77,55,39,9,16,183
E01000124,Barnet,E09000003,1874,610,47,1,8,442,24,14,39,109,8,15,117,15,103,94,34,17,28,149
E01000126,Barnet,E09000003,2280,449,30,2,3,379,24,100,17,50,9,72,120,37,214,379,53,34,152,156
E01000127,Barnet,E09000003,1557,379,53,0,10,228,20,24,19,14,20,35,139,42,171,208,59,19,40,77
E01000128,Barnet,E09000003,2048,457,59,0,13,399,26,23,20,25,15,113,130,54,220,331,35,7,55,66
E01000129,Barnet,E09000003,1603,340,29,1,26,287,16,34,17,14,13,43,96,25,250,206,20,29,38,119
E01000130,Barnet,E09000003,1946,466,23,6,24,301,14,30,20,40,17,76,85,29,274,365,34,29,30,83
E01000131,Barnet,E09000003,2021,370,47,1,10,410,33,20,17,29,19,159,209,56,234,161,22,28,45,151
E01000132,Barnet,E09000003,1615,363,34,0,10,275,17,30,14,29,25,20,103,38,199,186,37,22,64,149
E01000133,Barnet,E09000003,1638,475,33,1,0,190,16,19,17,17,23,36,114,48,271,167,36,26,38,111
E01000134,Barnet,E09000003,1820,395,30,3,12,349,22,51,31,40,0,92,145,16,183,272,25,23,48,83
E01000135,Barnet,E09000003,1700,590,13,0,2,423,31,6,5,33,0,57,139,47,106,34,9,8,43,154
E01000136,Barnet,E09000003,1488,625,4,0,6,320,36,8,12,26,1,21,110,18,88,53,2,2,17,139
E01000137,Barnet,E09000003,1660,380,20,0,8,313,19,25,29,63,17,19,58,18,169,247,40,23,62,150
E01000138,Barnet,E09000003,1619,407,32,0,10,350,32,33,14,31,24,23,116,41,176,58,15,9,101,147
E01000139,Barnet,E09000003,1391,519,34,0,4,343,21,9,2,10,1,11,98,33,66,59,7,6,44,124
E01000140,Barnet,E09000003,1958,658,31,0,10,485,39,12,23,40,12,38,175,21,88,118,24,8,39,137
E01000141,Barnet,E09000003,1859,389,78,1,41,393,34,25,31,51,17,51,62,36,226,123,40,40,80,141
E01000142,Barnet,E09000003,2240,549,84,0,19,491,29,32,10,69,19,40,104,52,203,152,50,14,156,167
E01000143,Barnet,E09000003,1666,478,66,1,2,260,20,33,23,50,48,20,56,24,100,254,51,19,95,66
E01000144,Barnet,E09000003,1660,412,4,1,16,479,25,6,4,29,3,27,91,25,236,77,7,5,26,187
E01000145,Barnet,E09000003,1615,663,12,0,4,381,22,4,0,31,13,21,97,23,64,53,1,4,27,195
E01000146,Barnet,E09000003,1867,564,23,0,17,547,31,20,5,30,14,62,82,16,163,49,9,7,53,175
E01000147,Barnet,E09000003,1907,229,45,4,15,465,16,2,11,17,4,110,288,116,292,50,28,9,51,155
E01000150,Barnet,E09000003,2255,371,74,0,18,478,26,25,28,62,7,60,326,66,249,174,53,38,81,119
E01000151,Barnet,E09000003,1726,343,26,32,3,201,8,54,27,31,24,13,49,24,209,408,38,49,81,106
E01000152,Barnet,E09000003,2693,474,24,0,8,363,29,47,18,44,18,68,265,129,276,512,57,62,84,215
E01000153,Barnet,E09000003,1935,516,19,0,2,269,25,34,31,59,15,65,74,40,199,377,43,28,36,103
E01000154,Barnet,E09000003,1921,322,14,0,13,339,16,28,24,49,27,104,79,40,190,398,31,29,64,154
E01000156,Barnet,E09000003,2033,884,61,0,13,499,44,19,25,70,24,41,50,14,71,62,22,22,25,87
E01000157,Barnet,E09000003,1586,752,52,0,9,332,33,31,18,46,17,17,30,13,49,72,19,13,10,73
E01000158,Barnet,E09000003,1469,602,49,3,7,252,20,20,28,38,11,19,136,17,60,79,27,11,14,76
E01000159,Barnet,E09000003,1786,770,60,0,6,307,18,25,14,42,11,29,178,16,43,96,23,10,3,135
E01000160,Barnet,E09000003,1951,641,16,3,18,490,37,16,19,61,11,65,142,30,95,89,38,21,16,143
E01000161,Barnet,E09000003,2040,671,49,0,0,428,37,27,32,45,36,38,182,34,137,66,55,21,55,127
E01000162,Barnet,E09000003,1652,602,50,5,4,269,37,10,21,46,13,30,196,13,69,115,21,19,1,131
E01000163,Barnet,E09000003,1693,550,39,0,6,411,26,30,54,44,13,14,51,17,79,130,59,33,19,118
E01000164,Barnet,E09000003,1714,596,27,0,11,338,38,17,35,41,28,13,74,22,101,139,33,46,28,127
E01000165,Barnet,E09000003,1813,507,39,0,8,317,46,15,25,49,5,106,170,53,119,114,22,17,26,175
E01000166,Barnet,E09000003,1612,780,30,3,0,273,18,14,38,29,4,24,65,14,94,64,13,6,15,128
E01000167,Barnet,E09000003,1386,761,35,4,5,169,14,9,25,29,16,10,41,14,72,50,20,13,18,81
E01000168,Barnet,E09000003,1525,686,15,0,3,258,31,2,3,30,31,30,127,21,59,25,6,3,6,189
E01000169,Barnet,E09000003,1630,931,41,5,6,235,18,17,14,36,1,7,50,6,68,68,19,16,11,81
E01000170,Barnet,E09000003,1906,906,34,0,0,281,35,26,53,57,5,41,101,9,63,93,47,23,26,106
E01000171,Barnet,E09000003,2286,856,50,18,21,469,29,34,56,69,16,26,59,13,114,129,41,28,20,238
E01000172,Barnet,E09000003,1685,902,24,0,2,312,24,7,11,34,8,22,113,23,46,24,13,7,4,109
E01000173,Barnet,E09000003,1687,836,38,0,6,232,39,19,18,42,3,26,70,40,88,91,25,12,13,89
E01000174,Barnet,E09000003,1762,903,43,0,2,255,23,24,36,48,11,31,63,11,99,40,25,20,14,114
E01000175,Barnet,E09000003,2032,1120,58,1,0,219,35,8,21,50,11,27,133,14,70,27,11,10,11,206
E01000176,Barnet,E09000003,1716,796,78,0,3,183,21,16,37,49,19,23,121,22,43,140,43,13,15,94
E01000177,Barnet,E09000003,1660,885,55,0,7,335,28,12,26,36,21,15,59,30,51,23,12,3,7,55
E01000178,Barnet,E09000003,1667,838,54,1,5,313,29,19,11,40,9,17,74,14,51,55,5,17,15,100
E01000179,Barnet,E09000003,1790,747,50,0,3,482,36,19,14,40,8,38,77,16,69,47,26,3,25,90
E01000180,Barnet,E09000003,1616,660,30,0,3,333,26,25,13,45,9,38,96,12,66,111,11,10,26,102
E01000181,Barnet,E09000003,1685,797,76,0,4,369,41,8,15,41,6,26,77,22,53,15,10,6,7,112
E01000182,Barnet,E09000003,1620,789,35,0,15,382,55,4,12,26,6,23,98,9,40,15,10,7,4,90
E01000183,Barnet,E09000003,1528,680,51,0,8,315,29,15,9,41,9,23,81,14,41,23,11,5,20,153
E01000184,Barnet,E09000003,1873,545,45,1,3,330,31,19,45,34,48,17,105,11,153,224,28,25,35,174
E01000185,Barnet,E09000003,1473,385,18,1,1,226,20,17,14,68,43,27,136,14,89,207,44,27,28,108
E01000186,Barnet,E09000003,1775,899,8,0,0,288,12,4,2,10,3,15,262,0,51,25,3,4,15,174
E01000187,Barnet,E09000003,1741,866,16,0,12,241,11,9,6,21,11,9,165,12,52,90,19,13,33,155
E01000188,Barnet,E09000003,1579,715,15,0,0,159,15,0,7,10,11,26,298,14,55,56,6,2,31,159
E01000189,Barnet,E09000003,2469,527,18,0,1,367,38,33,38,77,19,67,359,74,231,268,77,40,58,177
E01000190,Barnet,E09000003,1731,727,6,0,3,224,25,8,6,13,0,27,244,34,99,70,30,12,51,152
E01000191,Barnet,E09000003,1556,687,10,0,0,246,15,2,1,22,7,16,240,35,58,51,3,14,23,126
E01000192,Barnet,E09000003,1992,812,16,0,12,390,13,15,7,27,0,37,221,20,105,97,7,16,40,157
E01000193,Barnet,E09000003,1952,628,16,0,14,444,10,12,13,28,13,51,239,57,103,71,21,14,75,143
E01000194,Barnet,E09000003,1913,424,31,0,9,407,28,7,9,21,32,59,204,83,191,141,56,11,48,152
E01000195,Barnet,E09000003,2034,650,28,0,12,421,21,31,28,25,16,17,122,31,114,298,34,38,58,90
E01000196,Barnet,E09000003,2130,621,47,3,18,551,27,34,10,39,4,44,154,29,224,133,27,7,14,144
E01000197,Barnet,E09000003,1850,624,37,1,5,473,34,7,14,46,16,31,227,18,112,46,9,4,10,136
E01000198,Barnet,E09000003,2196,846,10,1,11,484,14,15,9,46,3,13,104,27,122,98,21,9,30,333
E01000199,Barnet,E09000003,1576,741,16,0,3,276,25,3,5,25,0,6,110,17,67,21,1,0,21,239
E01000200,Barnet,E09000003,1971,864,13,0,4,413,26,4,6,35,1,13,107,9,145,67,12,7,22,223
E01000201,Barnet,E09000003,1541,673,16,0,0,235,10,12,5,17,5,18,123,18,121,47,4,1,9,227
E01000202,Barnet,E09000003,1667,690,27,0,5,409,33,9,16,35,12,16,97,21,43,30,10,6,14,194
E01000203,Barnet,E09000003,1847,626,25,1,8,325,36,19,9,29,21,35,177,24,127,127,13,18,39,188
E01000204,Barnet,E09000003,1699,783,33,0,10,293,36,10,6,33,3,38,126,23,60,48,14,6,13,164
E01000205,Barnet,E09000003,1504,729,12,0,3,303,29,9,16,23,2,10,71,27,59,42,10,6,3,150
E01000206,Barnet,E09000003,1504,719,12,0,4,286,14,8,7,20,9,20,106,26,65,46,1,3,14,144
E01000207,Barnet,E09000003,1581,765,22,1,1,334,39,4,11,24,0,16,31,24,73,30,7,4,16,179
E01000208,Barnet,E09000003,1624,680,6,0,8,361,32,4,10,35,5,45,92,45,67,33,7,3,15,176
E01000209,Barnet,E09000003,1486,836,48,0,0,319,19,6,6,30,4,26,40,6,22,11,9,1,2,101
E01000210,Barnet,E09000003,1544,694,2,0,0,402,18,10,9,35,8,20,70,27,34,16,14,6,6,173
E01000211,Barnet,E09000003,2136,559,25,0,33,520,32,22,25,54,36,15,96,12,292,111,21,16,79,188
E01000212,Barnet,E09000003,1344,582,12,0,2,343,20,7,1,10,0,11,73,26,92,34,7,2,21,101
E01000213,Barnet,E09000003,1349,751,15,0,0,269,20,8,1,24,1,6,26,16,25,15,8,1,9,154
E01000214,Barnet,E09000003,1623,668,19,0,7,412,36,9,9,30,3,54,87,13,99,22,5,1,15,134
E01000215,Barnet,E09000003,2145,1067,9,0,3,375,6,24,4,28,1,19,67,22,69,44,11,7,66,323
E01000216,Barnet,E09000003,1974,806,17,0,62,456,25,11,7,52,9,40,102,46,76,39,2,7,15,202
E01000217,Barnet,E09000003,1784,951,14,0,7,397,4,2,2,10,6,10,45,8,31,42,6,11,22,216
E01000218,Barnet,E09000003,1846,900,10,0,5,428,10,3,5,13,8,11,77,0,66,52,3,1,21,233
E01000219,Barnet,E09000003,2193,804,11,0,10,607,15,3,13,30,6,17,181,31,169,48,10,10,14,214
E01000220,Barnet,E09000003,1889,868,4,2,9,459,13,3,6,34,8,49,57,16,73,51,8,2,33,194
E01000221,Barnet,E09000003,1411,282,16,0,4,184,18,39,24,86,28,16,41,31,91,250,37,40,113,111
E01000222,Barnet,E09000003,2025,393,59,0,16,400,53,40,22,37,24,70,73,74,151,145,14,21,237,196
E01000223,Barnet,E09000003,2029,421,61,9,20,378,22,31,22,39,13,23,71,32,187,225,46,15,258,156
E01000224,Barnet,E09000003,1692,301,38,0,9,307,22,11,9,35,29,40,78,60,162,185,14,17,202,173
E01000225,Barnet,E09000003,1867,965,20,0,2,426,10,1,2,9,8,18,33,14,32,25,7,4,4,287
E01000226,Barnet,E09000003,1734,469,43,3,6,273,20,25,17,39,18,28,110,31,200,218,36,21,72,105
E01000227,Barnet,E09000003,1876,706,21,2,6,326,21,4,6,21,25,66,225,41,120,77,12,9,16,172
